Background;Personality;Ideal;Bond;Flaw;Extra;Description
Acolyte;I idolize a particular hero of my faith, and constantly refer to that person's deeds and example.|I can find common ground between the fiercest enemies, empathizing with them and always working toward peace.|I see omens in every event and action. The gods try to speak to us, we just need to listen. |Nothing can shake my optimistic attitude.|I quote (or misquote) sacred texts and proverbs in almost every situation.|I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.|I've enjoyed fine food, drink, and high society among my temple's elite. Rough living grates on me.|I've spent so long in the temple that I have little practical experience dealing with people in the outside world.;Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld.|Charity. I always try to help those in need, no matter what the personal cost.|Change. We must help bring about the changes the gods are constantly working in the world.|Power. I hope to one day rise to the top of my faith’s religious hierarchy.|Faith. I trust that my deity will guide my actions. I have faith that if I work hard, things will go well.|Aspiration. I seek to prove myself worthy of my god’s favor by matching my actions against his or her teachings.;I would die to recover an ancient relic of my faith that was lost long ago.|I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.|I owe my life to the priest who took me in when my parents died.|Everything I do is for the common people.|I will do anything to protect the temple where I served.|I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.;I judge others harshly, and myself even more severely.|I put too much trust in those who wield power within my temple’s hierarchy.|My piety sometimes leads me to blindly trust those that profess faith in my god.|I am inflexible in my thinking.|I am suspicious of strangers and expect the worst of them.|Once I pick a goal, I become obsessed with it to the detriment of everything else in my life.;;You have spent your life in the service of a temple to a specific god or pantheon of gods. You act as an intermediary between the realm of the holy and the mortal world, performing sacred rites and offering sacrifices in order to conduct worshipers into the presence of the divine. You are not necessarily a cleric—performing sacred rites is not the same thing as channeling divine power.
Acolyte(Luxonborn);I idolize a particular hero of my faith, and constantly refer to that person’s deeds and example.|I can find common ground between the fiercest enemies, empathizing with them and always working toward peace.|I see omens in every event and action. The gods try to speak to us, we just need to listen.|Nothing can shake my optimistic attitude.|I quote (or misquote) sacred texts and proverbs in almost every situation.|I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.|I’ve enjoyed fine food, drink, and high society among my temple’s elite. Rough living grates on me.|I’ve spent so long in the temple that I have little practical experience dealing with people in the outside world.;Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld.|Charity. I always try to help those in need, no matter what the personal cost.|Change. We must help bring about the changes the gods are constantly working in the world.|Power. I hope to one day rise to the top of my faith’s religious hierarchy.|Faith. I trust that my deity will guide my actions. I have faith that if I work hard, things will go well.|Aspiration. I seek to prove myself worthy of my god’s favor by matching my actions against his or her teachings.;I would die to recover an ancient relic of my faith that was lost long ago.|I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.|I owe my life to the priest who took me in when my parents died.|Everything I do is for the common people.|I will do anything to protect the temple where I served.|I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.;I judge others harshly, and myself even more severely.|I put too much trust in those who wield power within my temple’s hierarchy.|My piety sometimes leads me to blindly trust those that profess faith in my god.|I am inflexible in my thinking.|I am suspicious of strangers and expect the worst of them.|Once I pick a goal, I become obsessed with it to the detriment of everything else in my life.;;Every acolyte is a servant of some god. But you serve the Luxon, a being that you believe transcends godhood and created the cosmos. No mere priest, you are a student of potential, for the Luxon is potentiality incarnate. You act as an intermediary between the realm of the holy and the mortal world, performing sacred rites and offering sacrifices in order to conduct worshipers into the presence of the divine. You are not necessarily a cleric—performing sacred rites is not the same thing as channeling divine power.
Charlatan;I fall in and out of love easily, and am always pursuing someone.|I have a joke for every occasion, especially occasions where humor is inappropriate.|Flattery is my preferred trick for getting what I want.|I’m a born gambler who can’t resist taking a risk for a potential payoff.|I lie about almost everything, even when there’s no good reason to.|Sarcasm and insults are my weapons of choice.|I keep multiple holy symbols on me and invoke whatever deity might come in useful at any given moment.|I pocket anything I see that might have some value.;Independence. I am a free spirit—no one tells me what to do.|Fairness. I never target people who can’t afford to lose a few coins.|Charity. I distribute the money I acquire to the people who really need it.|Creativity. I never run the same con twice.|Friendship. Material goods come and go. Bonds of friendship last forever.|Aspiration. I’m determined to make something of myself.;I fleeced the wrong person and must work to ensure that this individual never crosses paths with me or those I care about.|I owe everything to my mentor—a horrible person who’s probably rotting in jail somewhere.|Somewhere out there, I have a child who doesn’t know me. I’m making the world better for him or her.|I come from a noble family, and one day I’ll reclaim my lands and title from those who stole them from me.|A powerful person killed someone I love. Some day soon, I’ll have my revenge.|I swindled and ruined a person who didn’t deserve it. I seek to atone for my misdeeds but might never be able to forgive myself.;I can’t resist a pretty face.|I’m always in debt. I spend my ill-gotten gains on decadent luxuries faster than I bring them in...|I’m convinced that no one could ever fool me the way I fool others.|I’m too greedy for my own good. I can’t resist taking a risk if there’s money involved.|I can’t resist swindling people who are more powerful than me.|I hate to admit it and will hate myself for it, but I’ll run and preserve my own hide if the going gets tough.;I cheat at games of chance.|I shave coins or forge documents.|I insinuate myself into people’s lives to prey on their weakness and secure their fortunes.|I put on new identities like clothes.|I run sleight-of-hand cons on street corners.|I convince people that worthless junk is worth their hard-earned money.;You have always had a way with people. You know what makes them tick, you can tease out their hearts’ desires after a few minutes of conversation, and with a few leading questions you can read them like they were children’s books. It’s a useful talent, and one that you’re perfectly willing to use for your advantage. You know what people want and you deliver, or rather, you promise to deliver. Common sense should steer people away from things that sound too good to be true, but common sense seems to be in short supply when you’re around. The bottle of pink-colored liquid will surely cure that unseemly rash, this ointment — nothing more than a bit of fat with a sprinkle of silver dust — can restore youth and vigor, and there’s a bridge in the city that just happens to be for sale. These marvels sound implausible, but you make them sound like the real deal. Favorite Schemes:
Criminal (Myriad Operative);I always have a plan for what to do when things go wrong.|I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.|The first thing I do in a new place is note the locations of everything valuable—or where such things could be hidden.|I would rather make a new friend than a new enemy.|I am incredibly slow to trust. Those who seem the fairest often have the most to hide.|I don’t pay attention to the risks in a situation. Never tell me the odds.|The best way to get me to do something is to tell me I can’t do it.|I blow up at the slightest insult.;Honor. I don’t steal from others in the trade.|Freedom. Chains are meant to be broken, as are those who would forge them.|Charity. I steal from the wealthy so that I can help people in need.|Greed. I will do whatever it takes to become wealthy.|People. I’m loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care.|Redemption. There’s a spark of good in everyone.;I’m trying to pay off an old debt I owe to a generous benefactor.|My ill-gotten gains go to support my family.|Something important was taken from me, and I aim to steal it back.|I will become the greatest thief that ever lived.|I’m guilty of a terrible crime. I hope I can redeem myself for it.|Someone I loved died because of a mistake I made. That will never happen again.;When I see something valuable, I can’t think about anything but how to steal it.|When faced with a choice between money and my friends, I usually choose the money.|If there’s a plan, I’ll forget it. If I don’t forget it, I’ll ignore it.|I have a “tell” that reveals when I’m lying.|I turn tail and run when things look bad.|An innocent person is in prison for a crime that I committed. I’m okay with that.;Blackmailer|Burglar|Enforcer|Fence|Highway robber|Hired killer|Pickpocket|Smuggler;Most criminals in Wildemount are petty thieves and cutpurses who operate out of desperation. You, however, are a criminal of a higher caliber. You are a member of the Myriad, the greatest crime syndicate to ever grace the face of Exandria. You have a network of criminal contacts and allies to help you in your crimes—but you also have rivals and superiors that would gladly throw you to the wolves to save their own skins. The Myriad has bases of operation in every major city outside Eastern Wynandir, even if those bases are made up of only two or three members. Wherever you find the Myriad, you can find temporary shelter from the law—for a price. Criminal Specialty:
Criminal/ Spy;I always have a plan for what to do when things go wrong.|I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.|The first thing I do in a new place is note the locations of everything valuable—or where such things could be hidden.|I would rather make a new friend than a new enemy.|I am incredibly slow to trust. Those who seem the fairest often have the most to hide.|I don’t pay attention to the risks in a situation. Never tell me the odds.|The best way to get me to do something is to tell me I can’t do it.|I blow up at the slightest insult.;Honor. I don’t steal from others in the trade.|Freedom. Chains are meant to be broken, as are those who would forge them.|Charity. I steal from the wealthy so that I can help people in need.|Greed. I will do whatever it takes to become wealthy.|People. I’m loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care.|Redemption. There’s a spark of good in everyone.;I’m trying to pay off an old debt I owe to a generous benefactor.|My ill-gotten gains go to support my family.|Something important was taken from me, and I aim to steal it back.|I will become the greatest thief that ever lived.|I’m guilty of a terrible crime. I hope I can redeem myself for it.|Someone I loved died because of a mistake I made. That will never happen again.;When I see something valuable, I can’t think about anything but how to steal it.|When faced with a choice between money and my friends, I usually choose the money.|If there’s a plan, I’ll forget it. If I don’t forget it, I’ll ignore it.|I have a “tell” that reveals when I’m lying.|I turn tail and run when things look bad.|An innocent person is in prison for a crime that I committed. I’m okay with that.;Blackmailer|Burglar|Enforcer|Fence|Highway robber|Hired killer|Pickpocket|Smuggler;You are an experienced criminal with a history of breaking the law. You have spent a lot of time among other criminals and still have contacts within the criminal underworld. You’re far closer than most people to the world of murder, theft, and violence that pervades the underbelly of civilization, and you have survived up to this point by flouting the rules and regulations of society. Criminal Specialty:
Entertainer;I know a story relevant to almost every situation.|Whenever I come to a new place, I collect local rumors and spread gossip.|I’m a hopeless romantic, always searching for that “special someone.”|Nobody stays angry at me or around me for long, since I can defuse any amount of tension.|I love a good insult, even one directed at me.|I get bitter if I’m not the center of attention.|I’ll settle for nothing less than perfection.|I change my mood or my mind as quickly as I change key in a song.;"Beauty. When I perform, I make the world better than it was.|Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are.|Creativity. The world is in need of new ideas and bold action.|Greed. I’m only in it for the money and fame.|People. I like seeing the smiles on people’s faces when I perform. That’s all that matters.|Honesty. Art should reflect the soul; it should come from within and reveal who we really are.";My instrument is my most treasured possession, and it reminds me of someone I love.|Someone stole my precious instrument, and someday I’ll get it back.|I want to be famous, whatever it takes.|I idolize a hero of the old tales and measure my deeds against that person’s.|I will do anything to prove myself superior to my hated rival.|I would do anything for the other members of my old troupe.;I’ll do anything to win fame and renown.|I’m a sucker for a pretty face.|A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.|I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.|I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.|Despite my best efforts, I am unreliable to my friends.;Actor|Dancer|Fire-eater|Jester|Juggler|Instrumentalist|Poet|Singer|Storyteller|Tumbler;You thrive in front of an audience. You know how to entrance them, entertain them, and even inspire them. Your poetics can stir the hearts of those who hear you, awakening grief or joy, laughter or anger. Your music raises their spirits or captures their sorrow. Your dance steps captivate, your humor cuts to the quick. Whatever techniques you use, your art is your life. Entertainer Routine:
Folk Hero;I judge people by their actions, not their words.|If someone is in trouble, I’m always ready to lend help.|When I set my mind to something, I follow through no matter what gets in my way.|I have a strong sense of fair play and always try to find the most equitable solution to arguments.|I’m confident in my own abilities and do what I can to instill confidence in others.|Thinking is for other people. I prefer action.|I misuse long words in an attempt to sound smarter.|I get bored easily. When am I going to get on with my destiny?;Respect. People deserve to be treated with dignity and respect.|Fairness. No one should get preferential treatment before the law, and no one is above the law.|Freedom. Tyrants must not be allowed to oppress the people.|Might. If I become strong, I can take what I want—what I deserve.|Sincerity. There’s no good in pretending to be something I’m not.|Destiny. Nothing and no one can steer me away from my higher calling.;I have a family, but I have no idea where they are. One day, I hope to see them again.|I worked the land, I love the land, and I will protect the land.|A proud noble once gave me a horrible beating, and I will take my revenge on any bully I encounter.|My tools are symbols of my past life, and I carry them so that I will never forget my roots.|I protect those who cannot protect themselves.|I wish my childhood sweetheart had come with me to pursue my destiny.;The tyrant who rules my land will stop at nothing to see me killed.|I’m convinced of the significance of my destiny, and blind to my shortcomings and the risk of failure.|The people who knew me when I was young know my shameful secret, so I can never go home again.|I have a weakness for the vices of the city, especially hard drink.|Secretly, I believe that things would be better if I were a tyrant lording over the land.|I have trouble trusting in my allies.;I stood up to a tyrant’s agents.|I saved people during a natural disaster.|I stood alone against a terrible monster.|I stole from a corrupt merchant to help the poor.|I led a militia to fight off an invading army.|I broke into a tyrant’s castle and stole weapons to arm the people.|I trained the peasantry to use farm implements as weapons against a tyrant’s soldiers.|A lord rescinded an unpopular decree after I led a symbolic act of protest against it.|A celestial, fey, or similar creature gave me a blessing or revealed my secret origin.|Recruited into a lord’s army, I rose to leadership and was commended for my heroism.;You come from a humble social rank, but you are destined for so much more. Already the people of your home village regard you as their champion, and your destiny calls you to stand against the tyrants and monsters that threaten the common folk everywhere. Defining Event:
Gladiator;I know a story relevant to almost every situation.|Whenever I come to a new place, I collect local rumors and spread gossip.|I’m a hopeless romantic, always searching for that “special someone.”|Nobody stays angry at me or around me for long, since I can defuse any amount of tension.|I love a good insult, even one directed at me.|I get bitter if I’m not the center of attention.|I’ll settle for nothing less than perfection.|I change my mood or my mind as quickly as I change key in a song.;"Beauty. When I perform, I make the world better than it was.|Tradition. The stories, legends, and songs of the past must never be forgotten, for they teach us who we are.|Creativity. The world is in need of new ideas and bold action.|Greed. I’m only in it for the money and fame.|People. I like seeing the smiles on people’s faces when I perform. That’s all that matters.|Honesty. Art should reflect the soul; it should come from within and reveal who we really are.";My instrument is my most treasured possession, and it reminds me of someone I love.|Someone stole my precious instrument, and someday I’ll get it back.|I want to be famous, whatever it takes.|I idolize a hero of the old tales and measure my deeds against that person’s.|I will do anything to prove myself superior to my hated rival.|I would do anything for the other members of my old troupe.;I’ll do anything to win fame and renown.|I’m a sucker for a pretty face.|A scandal prevents me from ever going home again. That kind of trouble seems to follow me around.|I once satirized a noble who still wants my head. It was a mistake that I will likely repeat.|I have trouble keeping my true feelings hidden. My sharp tongue lands me in trouble.|Despite my best efforts, I am unreliable to my friends.;;A gladiator is as much an entertainer as any minstrel or circus performer, trained to make the arts of combat into a spectacle the crowd can enjoy. This kind of flashy combat is your entertainer routine, though you might also have some skills as a tumbler or actor.
Grinner;I love the spotlight. Everyone, look at me!|Give me a drink and I’m your friend.|Talk to me about yourself. I’m a hell of a listener.|I hate to start fights, but I love to finish them.|I can’t sit still.|I’m always humming an old tune from my past.|When I don’t have a reason to smile, I’m miserable.|I’m lucky like you wouldn’t believe.;Revolution. Tyrants must fall, no matter the cost. |Compassion. The only way to make a better world is to perform small kindnesses. |Justice. A nation built upon just foundations will uphold freedom for all. (Law)|Expression. Music, joy, and laughter are the keys to freedom. |Self-Determination. People should be free to do as they please. |Vigilance. A free people must be carefully taught, lest they be misled. (Neutral);I lost someone important to an agent of the Dwendalian Empire. That regime will fall.|The first people to be hurt by this war will be the common folk. I need to protect them.|Music helped me through a dark time in my life. Now, I’ll use music to change the world.|I will be known as the greatest spy who ever lived.|All life is precious to me. I know I can change the world without taking a humanoid life.|The elite in their ivory towers don’t understand how we suffer. I intend to show them.;I’ve never lied once in my life. What? No, I’m not crossing my fingers!|I do everything big! Subtlety? I don’t know the meaning of subtlety! Oh, that’s a problem?|Being a spy in wartime is painful. I’ve seen so much suffering, I think I’m losing my mind.|I can’t focus on my mission. I just want to carouse and sing and play!|Yeah, that’s my name. Yeah, I’m a Grinner spy. Who cares about staying undercover?|I can’t afford to trust anyone. Not. Anyone.;Zan’s Comin’ Back. This hopeful Tal’Dorei folk song declares the inevitable return of a just ruler. Use it to seek out potential allies.|Blow Fire Down the Coast. A rowdy fighting song from the Clovis Concord, this ditty talks of blasting up pirate ships. Use it to encourage battle.|Hush! Onward Come the Dragons. This Tal’Dorei folk song recounts the terror in the days after the invasion of the red dragon called the Cinder King. Use it to encourage caution in speech and deed.|Let the Sword Grow Rust. An antiwar anthem from Marquet, this song has uncertain origins. Use it to help quell violent encounters.|Drink Deep, Li’l Hummingbird. A drinking rondo from the Menagerie Coast, this song tells the tale of a young person who drinks so heavily that they awaken to find they’ve stowed away on a ship. Use it to encourage alertness in social situations.|Dirge for the Emerald Fire. This elven song supposedly has thousands of obscure verses. Use the first two verses to spread news of death or defeat.;The Golden Grin began in the far-off land of Tal’Dorei, trading secret messages through a network of bards and minstrels to undermine an iron-fisted king’s authoritarian rule. Today, Tal’Dorei is a relatively peaceful republic, and some Grinners have grown restless while waiting for tyranny to raise its ugly head again. A contingent of such Grinners traveled to the Menagerie Coast and set up a network of secret bases in the cities of the Clovis Concord, from which they are presently working their way into the highest echelons of the Dwendalian Empire. You are a Grinner. Your goals are to spread freedom and inspire hope—or, in time, revolution—in the hearts of the oppressed. Favorite Code-Song:
Guild Artisan/ Guild Merchant;I believe that anything worth doing is worth doing right. I can’t help it — I’m a perfectionist.|I’m a snob who looks down on those who can’t appreciate fine art.|I always want to know how things work and what makes people tick.|I’m full of witty aphorisms and have a proverb for every occasion.|I’m rude to people who lack my commitment to hard work and fair play.|I like to talk at length about my profession.|I don’t part with my money easily and will haggle tirelessly to get the best deal possible.|I’m well known for my work, and I want to make sure everyone appreciates it. I’m always taken aback when people haven’t heard of me.;Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. |Generosity. My talents were given to me so that I could use them to benefit the world. |Freedom. Everyone should be free to pursue his or her own livelihood. |Greed. I’m only in it for the money. |People. I’m committed to the people I care about, not to ideals. (Neutral)|Aspiration. I work hard to be the best there is at my craft. ;The workshop where I learned my trade is the most important place in the world to me.|I created a great work for someone, and then found them unworthy to receive it. I’m still looking for someone worthy.|I owe my guild a great debt for forging me into the person I am today.|I pursue wealth to secure someone’s love.|One day I will return to my guild and prove that I am the greatest artisan of them all.|I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.;I’ll do anything to get my hands on something rare or priceless.|I’m quick to assume that someone is trying to cheat me.|No one must ever learn that I once stole money from guild coffers.|I’m never satisfied with what I have — I always want more.|I would kill to acquire a noble title.|I’m horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I’m surrounded by rivals.;Alchemists and apothecaries|Armorers, locksmiths, and finesmiths|Brewers, distillers, and vintners|Calligraphers, scribes, and scriveners|Carpenters, roofers, and plasterers|Cartographers, surveyors, and chart-makers|Cobblers and shoemakers|Cooks and bakers|Glassblowers and glaziers|Jewelers and gem cutters|Leatherworkers, skinners, and tanners|Masons and stonecutters|Painters, limners, and sign-makers|Potters and tile-makers|Shipwrights and sailmakers|Smiths and metal-forgers|Tinkers, pewterers, and casters|Wagon-makers and wheelwrights|Weavers and dyers|Woodcarvers, coopers, and bowyers;You are a member of an artisan’s guild, skilled in a particular field and closely associated with other artisans. You are a well-established part of the mercantile world, freed by talent and wealth from the constraints of a feudal social order. You learned your skills as an apprentice to a master artisan, under the sponsorship of your guild, until you became a master in your own right. Guild Business: 
