Aarakocra
Variant Aasimar
Fallen Aasimar
Protector Aasimar
Scourge Aasimar
Bugbear
Dragonborn
Draconblood Dragonborn
Ravenite Dragonborn
Hill Dwarf
Mountain Dwarf
High Elf
Wood Elf
Eladrin Elf
Pallid Elf
Dark Elf
Sea Elf
Firbolg
Air Genasi
Earth Genasi
Fire Genasi
Water Genasi
Rock Gnome
Forest Gnome
Deep Gnome
Goblin
Goliath
Half-Elf
Half-Orc
Lightfoot Halfling
Stout Halfling
Lotusden Halfling
Hobgoblin
Human
Variant Human
Kenku
Orc of Exandria
Tabaxi
Tiefling
Tortle
